"student_id","cohort_hs_grad","sex","race_ethnicity","rural_flag","first_gen","iep_flag","ell_flag","frpl.x","hs_gpa","frpl.y","dual_credit_flag","hs_diploma_type","any_credential","earned_certificate","earned_associate","earned_bachelor","ever_employed","pct_qtrs_employed","avg_quarterly_wage","stably_employed","annual_wages_2023"
"STU000001",2016,"Male","White",0,0,0,0,0,2.86265857606777,0,0,"Standard",0,0,0,0,1,0.571428571428571,11668.3125,1,68845
"STU000002",2016,"Male","White",0,1,1,0,0,2.89735465274405,0,1,"Standard",0,0,0,0,1,0.714285714285714,10214,0,8780
"STU000003",2016,"NonBinary_Other","White",0,0,1,1,1,2.67438238138888,1,0,"Standard",1,0,0,1,1,0.321428571428571,12080.6666666667,1,54482
"STU000004",2016,"Male","White",0,1,0,0,0,2.69398231190087,0,0,"Standard",0,0,0,0,1,0.642857142857143,10466.7777777778,0,38847
"STU000005",2016,"Female","Black",0,0,0,1,1,2.23595868303745,1,0,"NonCompletion",0,0,0,0,1,0.642857142857143,11783.3333333333,0,23914
"STU000006",2016,"Male","White",1,0,1,0,0,2.66086245169511,0,0,"Standard",1,0,0,1,1,0.321428571428571,16060,0,36126
"STU000007",2016,"Female","Other",0,0,0,0,1,2.94507629515611,1,0,"NonCompletion",0,0,0,0,1,0.392857142857143,13715,0,32330
"STU000008",2016,"Male","White",0,0,0,0,0,3.95512540088177,0,0,"Advanced",1,0,0,1,1,0.607142857142857,18561.8823529412,1,84292
"STU000009",2016,"Female","Hispanic",0,1,0,0,0,3.4846568244234,0,0,"Standard",0,0,0,0,1,0.678571428571429,7264.8947368421,0,22543
"STU000010",2016,"Male","Hispanic",0,0,0,0,0,3.2399295240133,0,1,"Standard",1,0,0,1,1,0.107142857142857,19929,0,59787
"STU000011",2016,"Female","White",0,1,0,0,1,2.49865961685305,1,0,"NonCompletion",0,0,0,0,1,0.642857142857143,10304.1111111111,0,0
"STU000012",2016,"Female","White",0,0,0,0,0,2.82926096604077,0,0,"Standard",0,0,0,0,1,0.5,9894.14285714286,0,9965
"STU000013",2016,"Male","Asian",0,1,0,1,1,2.81376326228687,1,1,"Standard",0,0,0,0,1,0.714285714285714,10129.45,0,37251
"STU000014",2016,"Male","White",1,0,1,0,0,3.19412323514031,0,0,"Standard",1,0,0,1,1,0.25,20954.8571428571,0,69859
"STU000015",2016,"Male","White",0,1,0,0,0,2.38316784359187,0,0,"Standard",0,0,0,0,0,0,NA,0,0
"STU000016",2016,"Female","White",0,1,0,0,0,2.23745423002642,0,0,"Standard",0,0,0,0,1,0.678571428571429,11944.3684210526,0,37708
"STU000017",2016,"Male","Black",0,1,0,0,0,3.05082394409659,0,1,"Standard",1,0,1,0,1,0.892857142857143,13333.6,0,50656
"STU000018",2016,"Male","White",1,1,0,0,0,3.26373088171392,0,0,"Standard",1,0,0,1,1,0.535714285714286,11642.8666666667,1,68888
"STU000019",2016,"Female","White",0,0,1,0,0,1.70558532910587,0,0,"NonCompletion",0,0,0,0,1,0.642857142857143,9318.22222222222,0,0
"STU000020",2016,"Female","White",0,0,0,0,0,2.40276152719822,0,0,"Standard",0,0,0,0,1,0.464285714285714,8581.69230769231,0,38930
"STU000021",2016,"Male","White",1,1,1,0,1,1.97202899796945,1,0,"NonCompletion",0,0,0,0,1,0.785714285714286,10781.9090909091,0,25396
"STU000022",2016,"Female","White",0,0,0,0,1,2.6550249254456,1,0,"NonCompletion",0,0,0,0,1,0.892857142857143,9500.52,0,25803
"STU000023",2016,"Male","White",0,1,0,0,1,3.08640101036053,1,0,"Standard",1,1,0,0,1,0.821428571428571,15114.652173913,0,35395
"STU000024",2016,"Male","Hispanic",0,1,1,0,0,2.52189278790412,0,0,"Standard",0,0,0,0,1,0.607142857142857,7038.11764705882,1,40316
"STU000025",2016,"Male","White",0,1,0,0,0,NA,0,1,"NonCompletion",0,0,0,0,1,0.607142857142857,15299.2352941176,1,71716
"STU000026",2016,"Female","Other",0,0,0,0,1,2.98278161133836,1,0,"Standard",0,0,0,0,1,0.571428571428571,10093.5,1,43788
"STU000027",2016,"Male","Hispanic",0,1,0,0,1,2.69081042312135,1,0,"Standard",0,0,0,0,1,0.5,7168.42857142857,0,0
"STU000028",2016,"Female","White",0,1,0,0,0,1.86347158841539,0,0,"NonCompletion",0,0,0,0,1,0.642857142857143,13296.1666666667,1,55192
"STU000029",2016,"Male","MultiRacial",0,1,1,1,0,1.8235382314461,0,0,"Standard",0,0,0,0,1,0.571428571428571,10984.75,0,13408
"STU000030",2016,"Female","White",1,1,0,1,0,3.14038449589298,0,0,"Standard",1,0,0,1,1,0.392857142857143,19677,0,67088
"STU000031",2016,"Male","White",0,1,0,0,0,3.45427634927451,0,0,"Standard",1,0,1,0,1,0.571428571428571,10547.125,0,24851
"STU000032",2016,"Female","Hispanic",0,1,0,0,1,2.28321124824752,1,0,"Standard",0,0,0,0,1,0.5,10459.6428571429,0,22015
"STU000033",2016,"Male","White",0,0,0,0,0,2.8246716799187,0,1,"Standard",1,0,1,0,1,0.321428571428571,15652.5555555556,0,0
"STU000034",2016,"Female","White",0,1,0,0,1,2.53819810581804,1,0,"Standard",0,0,0,0,1,0.392857142857143,9350.54545454545,0,19823
