"student_id","credential_type","term_number","term_label"
"STU000003","Bachelor",22,"2022Q2"
"STU000006","Bachelor",21,"2022Q1"
"STU000008","Bachelor",17,"2021Q1"
"STU000010","Bachelor",10,"2019Q2"
"STU000014","Bachelor",15,"2020Q3"
"STU000017","Associate",7,"2018Q3"
"STU000018","Bachelor",23,"2022Q3"
"STU000023","Certificate",7,"2018Q3"
"STU000030","Bachelor",17,"2021Q1"
"STU000031","Associate",16,"2020Q4"
"STU000033","Associate",7,"2018Q3"
"STU000039","Bachelor",15,"2020Q3"
"STU000042","Bachelor",15,"2020Q3"
"STU000045","Bachelor",20,"2021Q4"
"STU000048","Associate",9,"2019Q1"
"STU000048","Bachelor",21,"2022Q1"
"STU000049","Certificate",6,"2018Q2"
"STU000050","Associate",12,"2019Q4"
"STU000050","Bachelor",19,"2021Q3"
"STU000052","Associate",9,"2019Q1"
"STU000052","Bachelor",18,"2021Q2"
"STU000054","Bachelor",22,"2022Q2"
"STU000057","Bachelor",16,"2020Q4"
"STU000059","Bachelor",15,"2020Q3"
"STU000061","Bachelor",17,"2021Q1"
"STU000063","Certificate",4,"2017Q4"
"STU000069","Bachelor",26,"2023Q2"
"STU000070","Bachelor",20,"2021Q4"
"STU000072","Certificate",7,"2018Q3"
"STU000072","Associate",11,"2019Q3"
"STU000073","Associate",19,"2021Q3"
"STU000075","Certificate",5,"2018Q1"
"STU000075","Associate",8,"2018Q4"
"STU000076","Associate",11,"2019Q3"
"STU000078","Associate",9,"2019Q1"
"STU000080","Certificate",4,"2017Q4"
"STU000082","Associate",2,"2017Q2"
"STU000083","Associate",2,"2017Q2"
"STU000084","Bachelor",15,"2020Q3"
"STU000085","Associate",18,"2021Q2"
"STU000085","Bachelor",19,"2021Q3"
"STU000087","Bachelor",16,"2020Q4"
"STU000097","Bachelor",13,"2020Q1"
"STU000102","Certificate",4,"2017Q4"
"STU000104","Certificate",7,"2018Q3"
"STU000107","Bachelor",17,"2021Q1"
"STU000108","Bachelor",17,"2021Q1"
"STU000109","Bachelor",17,"2021Q1"
"STU000110","Associate",9,"2019Q1"
"STU000111","Associate",8,"2018Q4"
"STU000115","Certificate",4,"2017Q4"
"STU000116","Bachelor",16,"2020Q4"
"STU000117","Certificate",4,"2017Q4"
"STU000119","Bachelor",13,"2020Q1"
"STU000120","Bachelor",17,"2021Q1"
"STU000122","Associate",8,"2018Q4"
"STU000122","Bachelor",17,"2021Q1"
"STU000124","Bachelor",20,"2021Q4"
"STU000126","Associate",7,"2018Q3"
"STU000128","Bachelor",15,"2020Q3"
"STU000136","Associate",13,"2020Q1"
"STU000137","Associate",2,"2017Q2"
"STU000144","Associate",19,"2021Q3"
"STU000146","Associate",8,"2018Q4"
"STU000150","Bachelor",24,"2022Q4"
"STU000153","Bachelor",23,"2022Q3"
"STU000156","Bachelor",10,"2019Q2"
"STU000158","Bachelor",17,"2021Q1"
"STU000159","Associate",8,"2018Q4"
"STU000159","Bachelor",18,"2021Q2"
"STU000166","Bachelor",15,"2020Q3"
"STU000168","Associate",8,"2018Q4"
"STU000168","Bachelor",20,"2021Q4"
"STU000173","Certificate",4,"2017Q4"
"STU000174","Associate",19,"2021Q3"
"STU000175","Bachelor",9,"2019Q1"
"STU000180","Bachelor",17,"2021Q1"
"STU000182","Bachelor",16,"2020Q4"
"STU000184","Bachelor",24,"2022Q4"
"STU000190","Bachelor",15,"2020Q3"
"STU000196","Associate",9,"2019Q1"
"STU000200","Associate",9,"2019Q1"
"STU000200","Bachelor",19,"2021Q3"
"STU000208","Associate",7,"2018Q3"
"STU000214","Certificate",7,"2018Q3"
"STU000216","Associate",2,"2017Q2"
"STU000218","Bachelor",15,"2020Q3"
"STU000220","Bachelor",20,"2021Q4"
"STU000223","Bachelor",25,"2023Q1"
"STU000230","Bachelor",21,"2022Q1"
"STU000232","Bachelor",17,"2021Q1"
"STU000233","Certificate",6,"2018Q2"
"STU000234","Bachelor",20,"2021Q4"
"STU000236","Bachelor",18,"2021Q2"
"STU000242","Associate",16,"2020Q4"
"STU000246","Bachelor",15,"2020Q3"
"STU000248","Bachelor",20,"2021Q4"
"STU000250","Associate",20,"2021Q4"
"STU000253","Bachelor",28,"2023Q4"
"STU000255","Bachelor",25,"2023Q1"
"STU000256","Bachelor",16,"2020Q4"
"STU000259","Certificate",5,"2018Q1"
"STU000260","Associate",4,"2017Q4"
"STU000261","Bachelor",11,"2019Q3"
"STU000263","Certificate",7,"2018Q3"
"STU000266","Bachelor",22,"2022Q2"
"STU000268","Certificate",4,"2017Q4"
"STU000269","Certificate",4,"2017Q4"
"STU000271","Bachelor",22,"2022Q2"
"STU000273","Bachelor",15,"2020Q3"
"STU000276","Bachelor",17,"2021Q1"
"STU000279","Certificate",6,"2018Q2"
"STU000279","Associate",10,"2019Q2"
"STU000280","Associate",3,"2017Q3"
"STU000285","Associate",17,"2021Q1"
"STU000288","Bachelor",17,"2021Q1"
"STU000289","Bachelor",17,"2021Q1"
"STU000290","Bachelor",16,"2020Q4"
"STU000291","Bachelor",20,"2021Q4"
