"student_id","term_1","term_2","term_3","term_4","term_5","term_6","term_7","term_8","term_9","term_10","term_11","term_12","term_13","term_14","term_15","term_16","term_17","term_18","term_19","term_20","term_21","term_22","term_23","term_24","term_25","term_26","term_27","term_28"
"STU000001","CTC","CTC","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000002","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000003","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None"
"STU000004","None","None","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000005","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000006","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None"
"STU000007","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","CTC","None","None","None","None","None","None"
"STU000008","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000009","None","4YR","4YR","CTC","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None"
"STU000010","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000011","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000012","None","None","None","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000013","4YR","4YR","4YR","CTC","4YR","None","None","4YR","None","CTC","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000014","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000015","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000016","None","None","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000017","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000018","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None"
"STU000019","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000020","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000021","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000022","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000023","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000024","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None"
"STU000025","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000026","None","CTC","CTC","CTC","CTC","CTC","CTC","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000027","None","None","None","None","CTC","CTC","CTC","CTC","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","4YR","None","None","None","None","None","None","None","None","None","None"
"STU000028","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000029","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000030","CTC","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","CTC","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000031","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000032","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000033","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000034","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000035","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000036","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000037","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None"
"STU000038","None","None","None","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000039","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000040","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000041","None","CTC","CTC","CTC","CTC","CTC","None","None","None","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000042","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
