"student_id","cohort_hs_grad","sex","race_ethnicity","rural_flag","first_gen","iep_flag","ell_flag","frpl"
"STU000001",2016,"Male","White",0,0,0,0,0
"STU000002",2016,"Male","White",0,1,1,0,0
"STU000003",2016,"NonBinary_Other","White",0,0,1,1,1
"STU000004",2016,"Male","White",0,1,0,0,0
"STU000005",2016,"Female","Black",0,0,0,1,1
"STU000006",2016,"Male","White",1,0,1,0,0
"STU000007",2016,"Female","Other",0,0,0,0,1
"STU000008",2016,"Male","White",0,0,0,0,0
"STU000009",2016,"Female","Hispanic",0,1,0,0,0
"STU000010",2016,"Male","Hispanic",0,0,0,0,0
"STU000011",2016,"Female","White",0,1,0,0,1
"STU000012",2016,"Female","White",0,0,0,0,0
"STU000013",2016,"Male","Asian",0,1,0,1,1
"STU000014",2016,"Male","White",1,0,1,0,0
"STU000015",2016,"Male","White",0,1,0,0,0
"STU000016",2016,"Female","White",0,1,0,0,0
"STU000017",2016,"Male","Black",0,1,0,0,0
"STU000018",2016,"Male","White",1,1,0,0,0
"STU000019",2016,"Female","White",0,0,1,0,0
"STU000020",2016,"Female","White",0,0,0,0,0
"STU000021",2016,"Male","White",1,1,1,0,1
"STU000022",2016,"Female","White",0,0,0,0,1
"STU000023",2016,"Male","White",0,1,0,0,1
"STU000024",2016,"Male","Hispanic",0,1,1,0,0
"STU000025",2016,"Male","White",0,1,0,0,0
"STU000026",2016,"Female","Other",0,0,0,0,1
"STU000027",2016,"Male","Hispanic",0,1,0,0,1
"STU000028",2016,"Female","White",0,1,0,0,0
"STU000029",2016,"Male","MultiRacial",0,1,1,1,0
"STU000030",2016,"Female","White",1,1,0,1,0
"STU000031",2016,"Male","White",0,1,0,0,0
"STU000032",2016,"Female","Hispanic",0,1,0,0,1
"STU000033",2016,"Male","White",0,0,0,0,0
"STU000034",2016,"Female","White",0,1,0,0,1
"STU000035",2016,"Male","Asian",0,0,0,0,0
"STU000036",2016,"Female","Asian",0,0,0,0,1
"STU000037",2016,"Male","AmericanIndian",0,0,0,0,1
"STU000038",2016,"Female","AmericanIndian",1,1,1,0,0
"STU000039",2016,"Male","White",0,1,0,0,0
"STU000040",2016,"Female","White",0,1,0,0,1
"STU000041",2016,"Female","White",0,1,0,0,0
"STU000042",2016,"Female","Asian",0,0,0,0,0
"STU000043",2016,"Male","White",0,1,0,0,1
"STU000044",2016,"Male","Hispanic",1,1,0,0,0
"STU000045",2016,"Male","Hispanic",0,0,0,0,1
"STU000046",2016,"Male","White",0,0,0,0,0
"STU000047",2016,"Male","White",0,0,1,0,0
"STU000048",2016,"Female","Other",1,0,0,0,0
"STU000049",2016,"Female","White",0,1,0,0,1
"STU000050",2016,"Male","White",1,1,1,0,0
"STU000051",2016,"Female","AmericanIndian",1,0,0,1,0
"STU000052",2016,"Male","AmericanIndian",0,0,0,1,0
"STU000053",2016,"Female","White",0,1,0,0,0
"STU000054",2016,"Female","White",0,0,0,1,0
"STU000055",2016,"Male","Hispanic",0,1,0,1,1
"STU000056",2016,"NonBinary_Other","White",0,0,0,0,0
"STU000057",2016,"Male","White",0,0,0,0,0
"STU000058",2016,"Male","Hispanic",0,1,0,0,1
"STU000059",2016,"Female","Hispanic",0,0,0,0,0
"STU000060",2016,"Male","MultiRacial",1,1,0,0,0
"STU000061",2016,"Female","Hispanic",1,0,1,0,1
"STU000062",2016,"Female","Hispanic",0,0,0,0,0
"STU000063",2016,"Female","Hispanic",0,0,0,0,0
"STU000064",2016,"Female","Hispanic",1,0,0,0,1
"STU000065",2016,"Female","Hispanic",0,1,0,0,1
"STU000066",2016,"Female","White",0,0,0,0,0
"STU000067",2016,"Female","White",1,0,1,0,0
"STU000068",2016,"Female","White",0,0,0,0,0
"STU000069",2016,"Female","Hispanic",1,0,1,0,0
"STU000070",2016,"Male","White",0,0,0,0,1
"STU000071",2016,"Male","White",1,0,0,0,0
"STU000072",2016,"Male","Asian",0,0,1,0,1
"STU000073",2016,"Female","White",0,0,0,0,0
"STU000074",2016,"Male","Hispanic",0,1,0,0,1
"STU000075",2016,"Male","Black",0,1,0,1,1
"STU000076",2016,"Male","Black",1,1,0,0,1
"STU000077",2016,"Female","White",1,1,1,0,1
"STU000078",2016,"Female","Black",1,0,0,0,1
"STU000079",2016,"Male","Black",0,1,0,0,0
"STU000080",2016,"Female","White",0,0,1,0,0
"STU000081",2016,"Female","White",1,1,0,0,0
"STU000082",2016,"Female","MultiRacial",0,0,1,0,0
"STU000083",2016,"Male","White",0,0,0,0,1
"STU000084",2016,"Male","White",0,1,0,0,0
"STU000085",2016,"Female","Hispanic",0,0,0,0,0
"STU000086",2016,"Male","AmericanIndian",0,1,0,0,0
"STU000087",2016,"Female","White",0,1,0,0,0
"STU000088",2016,"Female","MultiRacial",0,0,0,1,1
"STU000089",2016,"Female","Black",1,1,0,1,1
"STU000090",2016,"Male","Hispanic",1,0,1,0,1
"STU000091",2016,"Female","White",0,1,0,0,0
"STU000092",2016,"Male","MultiRacial",0,0,0,0,0
"STU000093",2016,"Female","Black",0,0,0,0,1
"STU000094",2016,"Male","White",0,0,0,0,0
"STU000095",2016,"Female","Hispanic",0,0,0,0,1
"STU000096",2016,"Female","Hispanic",0,0,0,0,1
"STU000097",2016,"Male","White",0,1,0,0,1
"STU000098",2016,"Female","MultiRacial",0,0,0,0,1
"STU000099",2016,"Male","White",1,0,0,0,1
"STU000100",2016,"Male","White",0,1,0,0,0
"STU000101",2016,"Female","White",1,1,0,0,1
"STU000102",2016,"Female","White",0,0,0,1,0
"STU000103",2016,"Male","Black",0,0,0,0,1
"STU000104",2016,"Male","Hispanic",0,1,0,0,1
"STU000105",2016,"Female","White",0,1,0,0,0
"STU000106",2016,"Female","White",0,0,0,0,1
"STU000107",2016,"Male","White",0,0,0,0,0
"STU000108",2016,"Male","White",0,0,0,1,1
"STU000109",2016,"Male","White",1,1,0,0,1
"STU000110",2016,"Male","MultiRacial",0,1,0,0,1
"STU000111",2016,"Male","White",1,0,0,0,0
"STU000112",2016,"Male","White",0,0,0,0,1
"STU000113",2016,"Female","Black",0,0,0,0,0
"STU000114",2016,"Male","Hispanic",1,0,0,0,0
"STU000115",2016,"Male","White",1,0,0,0,0
"STU000116",2016,"Male","White",0,0,0,0,1
"STU000117",2016,"Male","Hispanic",0,1,0,1,1
"STU000118",2016,"Male","White",0,0,1,0,0
"STU000119",2016,"Female","White",0,1,0,1,0
"STU000120",2016,"Male","Asian",0,1,0,0,1
"STU000121",2016,"Female","Hispanic",0,1,0,0,1
"STU000122",2016,"Male","Asian",1,1,0,0,0
"STU000123",2016,"Female","MultiRacial",0,0,0,0,0
"STU000124",2016,"Female","White",1,1,0,0,0
"STU000125",2016,"Female","AmericanIndian",0,1,0,0,1
"STU000126",2016,"Female","Black",1,1,0,0,1
"STU000127",2016,"Male","White",0,1,0,0,0
"STU000128",2016,"Female","White",0,1,0,0,0
"STU000129",2016,"Male","Black",0,0,0,0,0
"STU000130",2016,"Male","Black",0,1,0,0,1
"STU000131",2016,"Male","White",1,0,0,1,1
"STU000132",2016,"Male","White",0,1,0,0,1
"STU000133",2016,"Male","Black",0,0,1,0,1
"STU000134",2016,"Female","White",1,1,0,0,0
"STU000135",2016,"Female","White",0,0,1,0,1
"STU000136",2016,"Female","White",1,1,1,0,0
"STU000137",2016,"Male","AmericanIndian",1,0,0,0,1
"STU000138",2016,"Male","Asian",0,1,0,0,0
"STU000139",2016,"Male","Asian",1,0,1,0,1
"STU000140",2016,"Female","Black",0,0,0,0,0
"STU000141",2016,"Male","Asian",0,1,0,0,0
"STU000142",2016,"Male","Black",0,0,0,0,0
"STU000143",2016,"Male","White",1,0,1,0,0
"STU000144",2016,"Male","Black",0,0,0,0,0
"STU000145",2016,"Male","Hispanic",1,0,0,0,0
"STU000146",2016,"Male","White",0,1,0,0,1
"STU000147",2016,"Female","Other",1,0,0,0,0
"STU000148",2016,"Male","White",0,1,0,0,0
"STU000149",2016,"Female","Hispanic",0,1,0,0,0
"STU000150",2016,"Female","Hispanic",0,1,0,0,0
"STU000151",2016,"Male","White",0,0,0,0,1
"STU000152",2016,"Female","White",1,1,0,0,0
"STU000153",2016,"Male","Hispanic",0,0,0,0,1
"STU000154",2016,"Male","White",1,1,0,0,1
"STU000155",2016,"Male","Hispanic",0,0,0,0,0
"STU000156",2016,"Male","White",1,0,0,0,0
"STU000157",2016,"Female","Black",1,1,0,0,1
"STU000158",2016,"Male","White",0,0,0,0,0
"STU000159",2016,"Female","White",0,0,0,0,0
"STU000160",2016,"Male","MultiRacial",1,0,0,0,1
"STU000161",2016,"Male","White",1,1,0,0,1
"STU000162",2016,"Female","White",0,1,0,0,1
"STU000163",2016,"Male","White",0,0,0,0,0
"STU000164",2016,"Male","Black",0,0,0,0,1
"STU000165",2016,"Female","Hispanic",1,0,0,0,1
"STU000166",2016,"Female","Other",0,1,0,0,1
"STU000167",2016,"Male","White",1,1,0,0,0
"STU000168",2016,"Female","Hispanic",0,0,0,1,1
"STU000169",2016,"Female","White",0,0,0,0,0
"STU000170",2016,"Male","Other",1,0,0,0,1
"STU000171",2016,"Male","White",0,1,0,0,0
"STU000172",2016,"Female","White",1,1,0,0,0
"STU000173",2016,"Male","Asian",0,0,0,0,0
"STU000174",2016,"Female","White",0,0,1,0,0
"STU000175",2016,"Male","White",0,0,1,0,0
"STU000176",2016,"Female","White",0,1,0,0,0
"STU000177",2016,"Female","White",0,1,0,0,1
"STU000178",2016,"Female","MultiRacial",1,0,0,0,0
"STU000179",2016,"Male","Hispanic",0,0,1,0,1
"STU000180",2016,"Male","White",0,1,0,0,0
"STU000181",2016,"Male","White",1,1,0,0,0
"STU000182",2016,"Male","Black",0,0,0,1,1
"STU000183",2016,"Male","White",0,0,0,0,0
"STU000184",2016,"Male","AmericanIndian",1,1,0,0,1
"STU000185",2016,"Male","White",0,0,0,0,0
"STU000186",2016,"Female","Hispanic",0,0,0,0,1
"STU000187",2016,"Female","White",1,1,0,0,0
"STU000188",2016,"Male","Asian",0,0,0,0,1
"STU000189",2016,"Female","White",1,0,0,0,1
"STU000190",2016,"Male","Hispanic",0,1,1,1,1
"STU000191",2016,"Male","White",1,0,0,0,1
"STU000192",2016,"Male","Hispanic",0,1,0,0,1
"STU000193",2016,"Female","White",1,0,0,0,1
"STU000194",2016,"Female","White",0,1,0,0,0
"STU000195",2016,"Female","MultiRacial",1,0,0,0,1
"STU000196",2016,"Female","White",1,0,1,0,0
"STU000197",2016,"Male","White",0,0,0,1,1
"STU000198",2016,"Female","White",0,0,0,0,1
"STU000199",2016,"Female","Hispanic",0,1,0,0,1
"STU000200",2016,"Male","Hispanic",1,1,0,0,1
"STU000201",2016,"Female","White",1,0,0,0,0
"STU000202",2016,"Female","White",0,0,0,0,0
"STU000203",2016,"Female","White",1,0,0,0,0
"STU000204",2016,"Male","White",1,0,0,1,0
"STU000205",2016,"Female","White",0,0,0,0,1
"STU000206",2016,"Male","White",1,0,0,0,0
"STU000207",2016,"Female","White",0,1,1,1,0
