"student_id","quarter_number","calendar_quarter","quarterly_wages","employed"
"STU000001",1,"2017Q1",NA,0
"STU000001",2,"2017Q2",6920,1
"STU000001",3,"2017Q3",5241,1
"STU000001",4,"2017Q4",NA,0
"STU000001",5,"2018Q1",10779,1
"STU000001",6,"2018Q2",5417,1
"STU000001",7,"2018Q3",9168,1
"STU000001",8,"2018Q4",8057,1
"STU000001",9,"2019Q1",NA,0
"STU000001",10,"2019Q2",NA,0
"STU000001",11,"2019Q3",NA,0
"STU000001",12,"2019Q4",NA,0
"STU000001",13,"2020Q1",NA,0
"STU000001",14,"2020Q2",NA,0
"STU000001",15,"2020Q3",NA,0
"STU000001",16,"2020Q4",NA,0
"STU000001",17,"2021Q1",12553,1
"STU000001",18,"2021Q2",NA,0
"STU000001",19,"2021Q3",NA,0
"STU000001",20,"2021Q4",10675,1
"STU000001",21,"2022Q1",13238,1
"STU000001",22,"2022Q2",13185,1
"STU000001",23,"2022Q3",11504,1
"STU000001",24,"2022Q4",11111,1
"STU000001",25,"2023Q1",15612,1
"STU000001",26,"2023Q2",22818,1
"STU000001",27,"2023Q3",19696,1
"STU000001",28,"2023Q4",10719,1
"STU000002",1,"2017Q1",10005,1
"STU000002",2,"2017Q2",6100,1
"STU000002",3,"2017Q3",4993,1
"STU000002",4,"2017Q4",7036,1
"STU000002",5,"2018Q1",4849,1
"STU000002",6,"2018Q2",8359,1
"STU000002",7,"2018Q3",9240,1
"STU000002",8,"2018Q4",12963,1
"STU000002",9,"2019Q1",8739,1
"STU000002",10,"2019Q2",14028,1
"STU000002",11,"2019Q3",12267,1
"STU000002",12,"2019Q4",8700,1
"STU000002",13,"2020Q1",8093,1
"STU000002",14,"2020Q2",13579,1
"STU000002",15,"2020Q3",NA,0
"STU000002",16,"2020Q4",12002,1
"STU000002",17,"2021Q1",9242,1
"STU000002",18,"2021Q2",12284,1
"STU000002",19,"2021Q3",17099,1
"STU000002",20,"2021Q4",NA,0
"STU000002",21,"2022Q1",NA,0
"STU000002",22,"2022Q2",NA,0
"STU000002",23,"2022Q3",NA,0
"STU000002",24,"2022Q4",15922,1
"STU000002",25,"2023Q1",8780,1
"STU000002",26,"2023Q2",NA,0
"STU000002",27,"2023Q3",NA,0
"STU000002",28,"2023Q4",NA,0
"STU000003",1,"2017Q1",NA,0
"STU000003",2,"2017Q2",NA,0
"STU000003",3,"2017Q3",NA,0
"STU000003",4,"2017Q4",NA,0
"STU000003",5,"2018Q1",NA,0
"STU000003",6,"2018Q2",NA,0
"STU000003",7,"2018Q3",NA,0
"STU000003",8,"2018Q4",NA,0
"STU000003",9,"2019Q1",NA,0
"STU000003",10,"2019Q2",NA,0
"STU000003",11,"2019Q3",NA,0
"STU000003",12,"2019Q4",NA,0
"STU000003",13,"2020Q1",NA,0
"STU000003",14,"2020Q2",NA,0
"STU000003",15,"2020Q3",NA,0
"STU000003",16,"2020Q4",NA,0
"STU000003",17,"2021Q1",NA,0
"STU000003",18,"2021Q2",NA,0
"STU000003",19,"2021Q3",NA,0
"STU000003",20,"2021Q4",7535,1
"STU000003",21,"2022Q1",11230,1
"STU000003",22,"2022Q2",12269,1
"STU000003",23,"2022Q3",15953,1
"STU000003",24,"2022Q4",7257,1
"STU000003",25,"2023Q1",14387,1
"STU000003",26,"2023Q2",16626,1
"STU000003",27,"2023Q3",10493,1
"STU000003",28,"2023Q4",12976,1
"STU000004",1,"2017Q1",11440,1
"STU000004",2,"2017Q2",8494,1
"STU000004",3,"2017Q3",NA,0
"STU000004",4,"2017Q4",NA,0
"STU000004",5,"2018Q1",NA,0
"STU000004",6,"2018Q2",NA,0
"STU000004",7,"2018Q3",NA,0
"STU000004",8,"2018Q4",9403,1
"STU000004",9,"2019Q1",14690,1
"STU000004",10,"2019Q2",7327,1
"STU000004",11,"2019Q3",11664,1
"STU000004",12,"2019Q4",6537,1
"STU000004",13,"2020Q1",13704,1
"STU000004",14,"2020Q2",NA,0
"STU000004",15,"2020Q3",10381,1
"STU000004",16,"2020Q4",7844,1
"STU000004",17,"2021Q1",12186,1
"STU000004",18,"2021Q2",10299,1
"STU000004",19,"2021Q3",NA,0
"STU000004",20,"2021Q4",NA,0
"STU000004",21,"2022Q1",8012,1
"STU000004",22,"2022Q2",7975,1
"STU000004",23,"2022Q3",9599,1
"STU000004",24,"2022Q4",NA,0
"STU000004",25,"2023Q1",11215,1
"STU000004",26,"2023Q2",12825,1
"STU000004",27,"2023Q3",14807,1
"STU000004",28,"2023Q4",NA,0
"STU000005",1,"2017Q1",12480,1
"STU000005",2,"2017Q2",14294,1
"STU000005",3,"2017Q3",14056,1
"STU000005",4,"2017Q4",NA,0
"STU000005",5,"2018Q1",NA,0
"STU000005",6,"2018Q2",11025,1
"STU000005",7,"2018Q3",13282,1
"STU000005",8,"2018Q4",8899,1
"STU000005",9,"2019Q1",13209,1
"STU000005",10,"2019Q2",12678,1
