"student_id","wage_q1","wage_q2","wage_q3","wage_q4","wage_q5","wage_q6","wage_q7","wage_q8","wage_q9","wage_q10","wage_q11","wage_q12","wage_q13","wage_q14","wage_q15","wage_q16","wage_q17","wage_q18","wage_q19","wage_q20","wage_q21","wage_q22","wage_q23","wage_q24","wage_q25","wage_q26","wage_q27","wage_q28"
"STU000001",NA,6920,5241,NA,10779,5417,9168,8057,NA,NA,NA,NA,NA,NA,NA,NA,12553,NA,NA,10675,13238,13185,11504,11111,15612,22818,19696,10719
"STU000002",10005,6100,4993,7036,4849,8359,9240,12963,8739,14028,12267,8700,8093,13579,NA,12002,9242,12284,17099,NA,NA,NA,NA,15922,8780,NA,NA,NA
"STU000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7535,11230,12269,15953,7257,14387,16626,10493,12976
"STU000004",11440,8494,NA,NA,NA,NA,NA,9403,14690,7327,11664,6537,13704,NA,10381,7844,12186,10299,NA,NA,8012,7975,9599,NA,11215,12825,14807,NA
"STU000005",12480,14294,14056,NA,NA,11025,13282,8899,13209,12678,NA,NA,NA,NA,NA,NA,11115,10877,14333,9595,10300,10352,9940,11751,NA,NA,10490,13424
"STU000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,9588,NA,NA,NA,NA,NA,5292,12186,NA,NA,NA,31250,10894,21363,17841,16771,19355,NA,NA
"STU000007",12095,22198,NA,NA,NA,11366,12051,14190,NA,NA,NA,NA,NA,NA,10915,15362,12106,8252,NA,NA,NA,NA,NA,NA,21979,NA,NA,10351
"STU000008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10223,13461,16130,8672,12392,12743,36145,19423,24132,18630,14743,NA,23268,21298,20449,21094,15010,27739
"STU000009",9534,6941,7486,7245,7199,4519,7866,4534,4685,7274,7137,4280,6862,4401,NA,NA,7889,NA,10730,NA,NA,NA,6908,NA,NA,NA,10616,11927
"STU000010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18792,19945,21050
"STU000011",9982,6605,NA,NA,NA,NA,10945,14961,9210,13313,5396,9469,7409,6147,NA,12262,7475,15280,NA,11019,10098,12922,11354,11627,NA,NA,NA,NA
"STU000012",NA,13762,7243,NA,5011,NA,5241,8061,5030,NA,NA,NA,NA,NA,NA,NA,NA,8519,14838,9127,9593,13059,15462,13607,NA,NA,NA,9965
"STU000013",5507,NA,NA,NA,NA,8759,12572,NA,6569,8247,3896,5711,5937,NA,10498,9780,NA,12035,12759,10329,13512,9707,18593,10927,10138,NA,11551,15562
"STU000014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25253,15746,15551,20275,28079,NA,26415,15365
"STU000015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000016",8403,14493,15941,12967,5687,9274,NA,NA,8398,14678,NA,NA,NA,NA,NA,NA,10362,15112,9248,12732,17909,9906,10208,13917,15685,NA,10040,11983
"STU000017",7485,7982,8696,4841,9113,NA,NA,10120,13409,23404,10351,25577,15625,13741,14536,8352,7903,14371,11017,17126,13133,20372,14411,11119,NA,20613,13146,16897
"STU000018",NA,NA,NA,NA,NA,NA,NA,NA,NA,9059,8127,6763,5777,18035,12861,4737,NA,NA,3145,6980,NA,NA,19908,10363,21809,19771,12965,14343
"STU000019",8304,13531,4598,3229,6202,9871,NA,NA,NA,11388,12134,7808,6854,9555,8030,12081,11602,NA,NA,NA,8873,8165,10239,15264,NA,NA,NA,NA
"STU000020",NA,NA,NA,NA,NA,7762,NA,5230,6506,7497,4088,6806,9580,NA,NA,NA,NA,NA,NA,NA,8711,7983,8469,NA,12150,13771,NA,13009
"STU000021",6257,NA,NA,8953,11576,7690,8234,NA,9972,13332,12019,12086,NA,12204,13341,7750,14380,16463,7342,10366,7459,12153,11621,8608,6955,NA,NA,18441
"STU000022",8628,6832,5470,8367,8793,6389,7777,8940,10665,7498,10190,12177,6857,9815,12813,15036,7816,7663,9293,8466,9405,NA,7659,15161,9636,NA,NA,16167
"STU000023",12272,7856,7185,NA,NA,9855,11422,17478,11872,8344,13714,22999,21306,NA,13985,13763,18368,21595,11513,13405,27368,6767,20626,20549,17885,17510,NA,NA
"STU000024",NA,6466,1944,1871,3080,4711,5674,NA,4067,NA,5526,4205,8270,8071,NA,NA,NA,NA,NA,NA,NA,NA,16147,9300,6706,11366,11154,11090
"STU000025",12012,11928,13129,9221,NA,NA,9433,NA,NA,NA,NA,NA,NA,7090,12578,14877,17843,16809,NA,NA,NA,12058,29798,21595,16466,12653,16350,26247
"STU000026",13484,6968,NA,NA,NA,6547,8418,11789,8750,5898,NA,NA,12788,NA,11092,NA,NA,NA,9916,NA,11646,NA,NA,10412,14123,6773,9322,13570
"STU000027",NA,NA,NA,NA,5254,NA,2923,5189,10099,11166,9849,8469,5387,NA,5712,5194,5808,3804,9479,NA,NA,NA,12025,NA,NA,NA,NA,NA
"STU000028",9766,12998,8434,12088,15210,21419,16886,10499,13714,10023,8486,12104,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16220,13945,9596,17473,14178
"STU000029",7241,10069,9036,NA,NA,10442,7646,NA,8978,8943,8081,NA,NA,NA,NA,8186,10578,18195,19002,14938,NA,9732,NA,11281,NA,13408,NA,NA
